Title,Image,Address,Area,Distance,Dist_to_Airport,Score,Rating,add_info,add_info2,add_info3,add_info4,Price,Description,Room
DoubleTree by Hilton San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/10000/900/828/833c3e5b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,835 Airport Blvd Burlingame 94010 CA,Burlingame,14 miles to city center,2.7 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Pet-friendly,Airport transfer,Gym,$135 ,Suburban hotel with restaurant near Burlingame Golf Center ,Deluxe Room 2 Double Beds Non Smoking
Sonder Hayes Valley,https://exp.cdn-hotels.com/hotels/36000000/35820000/35813700/35813636/7e889424_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,135 Gough Street San Francisco 94102 CA,Hayes Valley,1.2 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Bathtub,,,,$252 ,3.5-star aparthotel convenient to Van Ness Avenue ,
Mansion on Sutter,https://exp.cdn-hotels.com/hotels/8000000/7070000/7064400/7064385/a415df7d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1409 Sutter St San Francisco 94109 CA,Lower Pacific Heights,0.9 miles to city center,12 miles to San Francisco International Airport (SFO),9.6,Exceptional,Parking available,Pet-friendly,Gym,,$329 ,Luxury hotel with 24-hour fitness near Lombard Street ,Le Vie En Rose
DoubleTree by Hilton Hotel San Francisco Airport North,https://exp.cdn-hotels.com/hotels/1000000/600000/599600/599536/3e22c8cd_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,5000 Sierra Point Pkwy Brisbane 94005 CA,Brisbane,8.0 miles to city center,4.0 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Pet-friendly,Airport transfer,Restaurant,$134 ,Bayfront Brisbane hotel with restaurant,Room 2 Queen Beds
Noe's Nest Bed and Breakfast,https://exp.cdn-hotels.com/hotels/12000000/11470000/11462200/11462191/2766bbe6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1257 Guerrero St. San Francisco 94124 CA,La Lengua,2.6 miles to city center,9.5 miles to San Francisco International Airport (SFO),9.2,Superb,Pet-friendly,Pet-friendly,Free breakfast,,$250 ,3.5-star B&B convenient to Twin Peaks ,Superior Room 1 King Bed (Venetian Room)
Hampton Inn Sfo Daly City,https://exp.cdn-hotels.com/hotels/1000000/690000/688000/687919/f543c50e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2700 Junipero Serra Blvd Daly City 94015 CA,St. Francis,7.5 miles to city center,6.9 miles to San Francisco International Airport (SFO),9,Superb,Free parking,Gym,Free breakfast,Internet access,$169 ,No-frills hotel in St. Francis with 24-hour fitness,2 QUEEN BEDS NONSMOKING
Admiral Hotel,https://exp.cdn-hotels.com/hotels/13000000/12620000/12614100/12614057/56da29e6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,608 O'Farrell Street San Francisco 94109 CA,Tenderloin,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Bathtub,,,$79 ,City-center hotel within easy reach of SHN Curran Theatre,
Hayes Valley Inn,https://exp.cdn-hotels.com/hotels/26000000/25060000/25059500/25059435/d61c8974_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,417 Gough Street San Francisco 94102 CA,Hayes Valley,1.1 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Bathtub,,,,$91 ,3-star hotel within walking distance of San Francisco City Hall,Double Room Shared Bathroom
Super 8 by Wyndham San Francisco/Near the Marina,https://exp.cdn-hotels.com/hotels/1000000/890000/883400/883306/2a071d7c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2440 Lombard St San Francisco 94123 CA,Marina District,2.0 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Airport transfer,Free breakfast,Bathtub,$109 ,Convenient to Presidio of San Francisco,Standard Room 1 King Bed
Hotel Drisco,https://exp.cdn-hotels.com/hotels/1000000/80000/74200/74183/35b03efd_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2901 Pacific Avenue San Francisco 94115 CA,Pacific Heights,1.9 miles to city center,13 miles to San Francisco International Airport (SFO),9.8,Exceptional,Parking available,Parking available,Gym,Free breakfast,$539 ,Upscale hotel within easy reach of Palace of Fine Arts,Interior Guestroom
Courtyard San Francisco Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/430000/423000/422927/ac97e7ef_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,580 Beach St San Francisco 94133 CA,Fisherman's Wharf,1.5 miles to city center,13 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Gym,Restaurant,Bathtub,$219 ,3-star hotel with restaurant near Ghirardelli Square ,Room 1 Queen Bed Accessible Non Smoking
Rodeway Inn Civic Center,https://exp.cdn-hotels.com/hotels/1000000/50000/40600/40569/61b8fdea_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,860 Eddy St San Francisco 94109 CA,Cathedral Hill,0.8 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,Connecting rooms available,,$73 ,Walking distance from San Francisco City Hall,
Powell Place,https://exp.cdn-hotels.com/hotels/76000000/75610000/75607200/75607175/b2a10d7d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,730 Powell St San Francisco 94108 CA,Downtown San Francisco,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,,Parking available,,,,$169 ,City-center hotel within easy reach of SF Masonic Auditorium,
JW Marriott San Francisco Union Square,https://exp.cdn-hotels.com/hotels/1000000/10000/2100/2063/0a58e614_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,515 Mason Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$339 ,Luxury hotel with restaurant near SHN Curran Theatre ,Room 1 King Bed Non Smoking
AC Hotel by Marriott San Francisco Airport Oyster Point/Waterfront,https://exp.cdn-hotels.com/hotels/19000000/18790000/18787400/18787381/e4060265_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1333 Veterans Boulevard South San Francisco 94080 CA,Oyster Point,8.5 miles to city center,3.4 miles to San Francisco International Airport (SFO),9,Superb,Pool,Parking available,Pet-friendly,Gym,$209 ,3-star hotel in South San Francisco with indoor pool and bar/lounge,Room 2 Queen Beds Non Smoking
W San Francisco,https://exp.cdn-hotels.com/hotels/1000000/290000/287200/287112/0c3e6fc9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,181 3rd St San Francisco 94103 CA,South Beach,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$369 ,Luxury hotel with restaurant near San Francisco Museum of Modern Art ,Wonderful King 1 King Bed No View
Van Ness Inn,https://exp.cdn-hotels.com/hotels/10000000/9760000/9753300/9753258/acfc6826_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2850 Van Ness Avenue San Francisco 94109 CA,Marina District,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$89 ,Lakefront motel within walking distance of Fort Mason,Standard Room (Selected at Check-in)
Crowne Plaza San Francisco Airport an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/28600/28502/a824a822_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1177 Airport Blvd Burlingame 94010 CA,Burlingame,14 miles to city center,2.3 miles to San Francisco International Airport (SFO),,Good,Parking available,Pet-friendly,Airport transfer,Gym,$124 ,3.5-star Burlingame hotel with indoor pool,Standard Room 1 King Bed
Americas Best Value Inn San Francisco Pacifica,https://exp.cdn-hotels.com/hotels/1000000/910000/904500/904482/b636feab_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2160 Francisco Blvd Pacifica 94044 CA,Sharp Park,12 miles to city center,5.7 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Bathtub,Internet access,,$126 ,Pacifica hotel by ocean,Economy Room 1 King Bed Non Smoking
San Francisco Airport Marriott Waterfront,https://exp.cdn-hotels.com/hotels/1000000/30000/23900/23838/f1c172f2_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1800 Old Bayshore Hwy Burlingame 94010 CA,Burlingame,13 miles to city center,1.4 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Airport transfer,Gym,$209 ,4-star hotel in Burlingame with bar/lounge and 24-hour fitness,Room 1 King Bed Non Smoking
Le Meridien San Francisco,https://exp.cdn-hotels.com/hotels/1000000/20000/11600/11523/7cad6a13_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,333 Battery St San Francisco 94111 CA,Financial District,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),9.2,Superb,Pet-friendly,Gym,Restaurant,Bar,$359 ,4-star hotel with restaurant near Exploratorium ,Room 2 Double Beds Non Smoking City View
Pacifica Lighthouse Hotel Trademark Collection by Wyndham,https://exp.cdn-hotels.com/hotels/1000000/20000/13000/12960/8da541f9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,105 Rockaway Beach Avenue Pacifica 94044 CA,Rockaway Beach,13 miles to city center,6.0 miles to San Francisco International Airport (SFO),8,Very Good,Pool,Free parking,Restaurant,Bar,$149 ,3-star beachfront hotel with outdoor pool near Rockaway Beach ,Room 2 Queen Beds Non Smoking Courtyard View
Ritz Inn San Francisco SFO Airport,https://exp.cdn-hotels.com/hotels/64000000/63660000/63659300/63659279/ab81ac3a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,151 El Camino Real San Bruno 94066 CA,San Bruno,12 miles to city center,1.1 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$84 ,No-frills motel in San Bruno,
The Ritz-Carlton San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/22200/22148/3c92a22e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,600 Stockton St San Francisco 94108 CA,Downtown San Francisco,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$679 ,Luxury hotel with 2 bars/lounges near 555 California Street ,Room 1 King Bed Non Smoking
Fairfield Inn & Suites by Marriott San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/810000/808500/808403/2b147c0c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,250 El Camino Real Millbrae 94030 CA,Millbrae,13 miles to city center,1.0 mile to San Francisco International Airport (SFO),8.4,Very Good,Parking available,Airport transfer,Gym,Free breakfast,$132 ,Millbrae suburban guestrooms with comfy beds,Room 1 King Bed Non Smoking
Aida Plaza Hotel,https://exp.cdn-hotels.com/hotels/2000000/1090000/1083200/1083193/2b00636b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1087 Market Street San Francisco 94103 CA,Mid-Market,0.5 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,,,,,$100 ,City-center hotel within walking distance of Warfield Theater,
Holiday Inn Express San Francisco Union Square an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/160000/151000/150946/3ffcf5cc_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,235 O Farrell Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Gym,Internet access,,,$169 ,Hotel with 24-hour fitness near SHN Curran Theatre ,Standard Room 1 Queen Bed Accessible (Hearing)
Homewood Suites by Hilton San Francisco Airport North,https://exp.cdn-hotels.com/hotels/1000000/900000/897300/897225/c5c37e1b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2000 Shoreline Ct Brisbane 94005 CA,Brisbane,8.1 miles to city center,3.9 miles to San Francisco International Airport (SFO),,Good,Pool,Parking available,Gym,Free breakfast,$142 ,3-star Brisbane hotel with indoor pool,Studio Queen Suite
Samesun San Francisco,https://exp.cdn-hotels.com/hotels/70000000/69650000/69643900/69643865/e65a3787_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1475 Lombard St San Francisco 94123 CA,Cow Hollow,1.3 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$183 ,City-center hostel within easy reach of Lombard Street,
Deluxe Inn,https://exp.cdn-hotels.com/hotels/3000000/2060000/2053800/2053742/a7de352f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,920 El Camino Real South San Francisco 94080 CA,South San Francisco,9.4 miles to city center,3.6 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$85 ,No-frills motel in South San Francisco,
Inn at Rockaway,https://exp.cdn-hotels.com/hotels/2000000/1260000/1252400/1252315/4a6583dc_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,200 Rockaway Beach Avenue Pacifica 94044 CA,Rockaway Beach,13 miles to city center,5.9 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Pet-friendly,Bathtub,,$162 ,Within easy reach of Rockaway Beach,Standard Room 1 Queen Bed No View
Courtyard by Marriott San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/30000/25300/25271/1e17c207_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1050 Bayhill Dr San Bruno 94066 CA,San Bruno,11 miles to city center,2.0 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Airport transfer,Gym,Restaurant,$179 ,Suburban hotel in San Bruno with restaurant and bar/lounge,Room 1 King Bed Non Smoking
Courtyard by Marriott San Francisco Union Square,https://exp.cdn-hotels.com/hotels/1000000/10000/400/360/9ad2e74e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,761 Post Street San Francisco 94109 CA,Theater District,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Gym,Restaurant,Bar,$199 ,3-star hotel with restaurant near SHN Curran Theatre ,Room 1 King Bed Non Smoking
Fairfield Inn & Suites by Marriott San Francisco Pacifica,https://exp.cdn-hotels.com/hotels/1000000/450000/446100/446038/26627ee4_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,500 Old County Road Pacifica 94044 CA,Rockaway Beach,13 miles to city center,5.9 miles to San Francisco International Airport (SFO),8,Very Good,Bathtub,,,,$151 ,Convenient to Rockaway Beach,Room 1 King Bed
El Camino Inn,https://exp.cdn-hotels.com/hotels/1000000/30000/23800/23711/6d52bc5f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,7525 Mission St Daly City 94014 CA,Daly City,7.6 miles to city center,6.5 miles to San Francisco International Airport (SFO),,Good,Free parking,Free breakfast,,,$117 ,Central motel in Daly City connected to a shopping center,
Marriott San Francisco Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/30000/20500/20488/3cc34aa1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1250 Columbus Ave San Francisco 94133 CA,Fisherman's Wharf,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$219 ,4-star hotel with restaurant near Lombard Street ,Room 2 Queen Beds Non Smoking
Villa Montes Hotel Ascend Hotel Collection,https://exp.cdn-hotels.com/hotels/3000000/2170000/2161600/2161526/950b2b27_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,620 El Camino Real San Bruno 94066 CA,San Bruno,11 miles to city center,1.6 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Airport transfer,Gym,Internet access,$114 ,San Bruno hotel in shopping district,Standard Room 1 King Bed Non Smoking
Hilton Garden Inn San Francisco-Airport/Burlingame,https://exp.cdn-hotels.com/hotels/1000000/520000/519800/519729/97035d11_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,765 Airport Blvd Burlingame 94010 CA,Burlingame,14 miles to city center,2.8 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Bathtub,Internet access,,$129 ,3-star Burlingame hotel with indoor pool,Room 1 King Bed
Europa Hotel,https://exp.cdn-hotels.com/hotels/9000000/8210000/8206900/8206882/8bcf35b4_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,310 Columbus Avenue San Francisco 94133 CA,Telegraph Hill,0.7 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Internet access,,,$65 ,Walking distance from Coit Tower,Standard Room 1 Queen Bed Non Smoking Shared Bathroom
Comfort Inn & Suites San Francisco Airport West,https://exp.cdn-hotels.com/hotels/1000000/900000/894300/894295/3d43b549_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,611 San Bruno Avenue East San Bruno 94066 CA,San Bruno,11 miles to city center,1.5 miles to San Francisco International Airport (SFO),8.2,Very Good,Airport transfer,Gym,Free breakfast,,$104 ,No-frills San Bruno guestrooms with comfy beds,Standard Room 1 King Bed Non Smoking
Royal Inn,https://exp.cdn-hotels.com/hotels/14000000/13520000/13518900/13518853/02815d4a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,120 Hickey Blvd South San Francisco 94080 CA,South San Francisco,8.7 miles to city center,5.0 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$111 ,No-frills motel in South San Francisco,
Union Hotel,https://exp.cdn-hotels.com/hotels/13000000/12860000/12859500/12859473/75ca3273_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2030 Mission St San Francisco 94110 CA,Inner Mission,1.7 miles to city center,10 miles to San Francisco International Airport (SFO),,Good,,,,,$54 ,Convenient to Van Ness Avenue,Deluxe Double Room Shared Bathroom
Yale Hotel,https://exp.cdn-hotels.com/hotels/6000000/5390000/5388900/5388866/w951h629x1y1-fa439940_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,633 Larkin Street San Francisco 94109 CA,Little Saigon,0.6 miles to city center,12 miles to San Francisco International Airport (SFO),,,,,,,$94 ,City-center hotel within easy reach of Van Ness Avenue,
Americana Inn,https://exp.cdn-hotels.com/hotels/28000000/27670000/27665500/27665446/1c1d8a84_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,760 El Camino Real South San Francisco 94080 CA,South San Francisco,9.5 miles to city center,3.4 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Bathtub,,,$93 ,No-frills motel in South San Francisco,Standard Room 1 King Bed Non Smoking
The St. Regis San Francisco,https://exp.cdn-hotels.com/hotels/2000000/1330000/1322000/1321986/8631a7bf_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,125 3rd St San Francisco 94103 CA,Downtown San Francisco,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$720 ,Luxury hotel with restaurant near San Francisco Museum of Modern Art ,Superior Room 1 King Bed Non Smoking
Hotel Bijou WorldHotels Crafted,https://exp.cdn-hotels.com/hotels/1000000/30000/23600/23555/4ed2d814_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,111 Mason St San Francisco 94102 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Pet-friendly,Airport transfer,Spa,Restaurant,$149 ,4-star hotel with restaurant near Westfield San Francisco Centre ,Superior Room 1 Queen Bed Non Smoking
Pacifica Beach Hotel,https://exp.cdn-hotels.com/hotels/1000000/980000/970500/970469/131f1859_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,525 Crespi Drive Pacifica 94044 CA,Linda Mar,14 miles to city center,6.2 miles to San Francisco International Airport (SFO),,Good,Pool,Free parking,Restaurant,Bar,$159 ,Victorian hotel with indoor pool near Pacifica State Beach ,Standard Room 1 King Bed
Oak Hotel,https://exp.cdn-hotels.com/hotels/20000000/19120000/19117200/19117122/928b0413_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,171 Fell Street San Francisco 94102 CA,Civic Center,1.0 mile to city center,11 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Bathtub,,,$70 ,Walking distance from San Francisco City Hall,
Fitzgerald Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/1000/917/f5564165_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,620 Post Street San Francisco 94109 CA,Theater District,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Bathtub,,,$102 ,City-center hotel within easy reach of SHN Curran Theatre,Deluxe Room 1 Queen Bed
Page Hotel,https://exp.cdn-hotels.com/hotels/24000000/23690000/23688300/23688269/753e8291_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,161 Leavenworth St San Francisco 94102 CA,Tenderloin,0.5 miles to city center,12 miles to San Francisco International Airport (SFO),,,,,,,$44 ,Walking distance from Warfield Theater,
Geneva Motel Daly City,https://exp.cdn-hotels.com/hotels/19000000/18070000/18069700/18069626/e8ba6666_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,3233 Geneva Ave Daly City 94014 CA,Daly City,5.7 miles to city center,6.3 miles to San Francisco International Airport (SFO),,,Free parking,Bathtub,,,$78 ,No-frills motel in Daly City,
Perramont Hotel,https://exp.cdn-hotels.com/hotels/14000000/13280000/13279800/13279737/e05d4f5b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2162 Market Street San Francisco 94114 CA,Duboce Triangle,1.9 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Bathtub,,,,$80 ,Convenient to Castro Street,
The Adrian,https://exp.cdn-hotels.com/hotels/21000000/20650000/20645900/20645825/2ef05d96_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,493 Eddy St San Francisco 94109 CA,Tenderloin,0.5 miles to city center,12 miles to San Francisco International Airport (SFO),,,Airport transfer,,,,$53 ,Walking distance from Orpheum Theater,
HI San Francisco Downtown Hostel,https://exp.cdn-hotels.com/hotels/39000000/38770000/38769100/38769067/44b7f934_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,312 Mason Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Bathtub,,,,$95 ,Walking distance from Warfield Theater,Economy Room Multiple Beds (Private)
European Hostel,https://exp.cdn-hotels.com/hotels/8000000/7810000/7807600/7807544/8e06e435_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,761 Minna Street San Francisco 94103 CA,South of Market,0.8 miles to city center,11 miles to San Francisco International Airport (SFO),,,,,,,$56 ,Walking distance from Orpheum Theater,
Amsterdam Hostel,https://exp.cdn-hotels.com/hotels/10000000/9760000/9753200/9753107/d3e5588a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,749 Taylor Street San Francisco 94108 CA,Lower Nob Hill,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,,,,,,$66 ,City-center hostel within easy reach of SF Masonic Auditorium,Standard Room 1 Queen Bed Private Bathroom
Orange Village Hostel,https://exp.cdn-hotels.com/hotels/10000000/9750000/9747500/9747477/6dcdb44c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,411 O'Farrell Street San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,,,,,,$97 ,Walking distance from Warfield Theater,Standard Twin Room 2 Twin Beds ( Shared Hallway Bathroom)
Adelaide Hostel,https://exp.cdn-hotels.com/hotels/10000000/9350000/9347800/9347705/a508b760_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,5 Isadora Duncan Lane San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Free breakfast,Internet access,,$99 ,City-center hostel within easy reach of SHN Curran Theatre,Double Room (Private)
Music City Hotel - Home of the San Francisco Music Hall of Fame,https://exp.cdn-hotels.com/hotels/3000000/2170000/2168200/2168121/9971b4c6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1353 Bush Street San Francisco 94109 CA,Lower Nob Hill,0.6 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,,,,$149 ,Art Deco hostel within walking distance of The Regency Ballroom,Grateful Dead Room with Shared Bathroom
New 2 bed 2 bath near SFO/Train (#D),https://exp.cdn-hotels.com/hotels/65000000/64470000/64464400/64464346/8e681bfa_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,San Bruno CA,San Bruno,11 miles to city center,1.2 miles to San Francisco International Airport (SFO),,,Bathtub,,,,$150 ,Apartment in San Bruno,Sleeps 4 2 bedrooms 2 bathrooms
Gateway of SF mins-SFDT & SFO next Bart&fewy,https://exp.cdn-hotels.com/hotels/58000000/57550000/57547800/57547729/931fca34_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,Daly City CA,Daly City,6.4 miles to city center,7.7 miles to San Francisco International Airport (SFO),,Good,Parking available,Pet-friendly,Kitchen,Bathtub,$589 ,Adults-only vacation home with kitchen near San Francisco State University ,
Relaxing Gateway to The Bay - 2B/1BA/Parking W/D,https://exp.cdn-hotels.com/hotels/71000000/70960000/70959700/70959681/7abaf04f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,San Bruno CA,San Bruno,11 miles to city center,1.7 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Pet-friendly,Kitchen,Bathtub,$260 ,San Bruno apartment with kitchen and patio,
The Catrina by Kasa,https://exp.cdn-hotels.com/hotels/72000000/71950000/71946100/71946029/837cd787_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2110 S El Camino Real San Mateo 94403 CA,San Mateo,18 miles to San Francisco,6.4 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Pet-friendly,,,$68 ,No-frills guestrooms in South San Mateo with memory foam beds,
SureStay Plus Hotel by Best Western Hayward,https://exp.cdn-hotels.com/hotels/1000000/130000/123500/123488/83518d2f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2460 Whipple Rd Hayward 94544 CA,Hayward,23 miles to San Francisco,18 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Free breakfast,Bathtub,,$106 ,Hayward hotel in shopping district,
Oakland Airport Executive Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/15400/15360/e7088893_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,150 Hegenberger Rd Oakland 94621 CA,Oakland,12 miles to San Francisco,13 miles to San Francisco International Airport (SFO),,Good,Pool,Parking available,Airport transfer,Restaurant,$102 ,3-star hotel with outdoor pool near RingCentral Coliseum ,Deluxe Room 1 King Bed
La Quinta Inn & Suites by Wyndham Oakland - Hayward,https://exp.cdn-hotels.com/hotels/1000000/10000/8000/7973/9763365e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,20777 Hesperian Blvd Hayward 94541 CA,Hayward,18 miles to San Francisco,15 miles to San Francisco International Airport (SFO),,Good,Pool,Free parking,Pet-friendly,Gym,$104 ,Suburban Hayward hotel with outdoor pool,Standard Room 2 Queen Beds Non Smoking
Home2 Suites by Hilton Hayward,data:image/gif;base64R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==,22101 Hesperian Blvd Hayward 94541 CA,Hayward,18 miles to San Francisco,15 miles to San Francisco International Airport (SFO),10,Exceptional,Pool,Free parking,Pet-friendly,Gym,$142 ,3-star Hayward hotel with outdoor pool,
Modern Luxe 4BR+ Condo w/ King Bed near Downtown & Lake Merritt,https://exp.cdn-hotels.com/hotels/76000000/75150000/75147300/75147251/06fb7d1f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,Oakland CA,Oakland,7.6 miles to San Francisco,15 miles to San Francisco International Airport (SFO),,,,,,,$264 ,Within easy reach of Fox Theater,Sleeps 8 4 bedrooms 2 bathrooms
Harbor View Inn,https://exp.cdn-hotels.com/hotels/2000000/1040000/1038100/1038086/bdd0ec55_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,51 Ave. Alhambra Half Moon Bay 94018 CA,Half Moon Bay,20 miles to San Francisco,9.2 miles to San Francisco International Airport (SFO),9.4,Exceptional,Free parking,Free parking,Free breakfast,,$189 ,Walking distance from Pillar Point Harbor,Deluxe Room 2 Queen Beds
